"Deployment.Location.ID","Latitude","Longitude","Fire","Seismic","Dist_Seism","YEAR","Time_Fire","Park","Utm.Code","Utm.N","Utm.E"
"RICH39",57.7835139830741,-111.121549466341,"Yes","Seismic",0,1980,"1976-1985","Outside","12N",6404615,492772
"RICH44",57.8208124486117,-111.011985685976,"Yes","Off-line",2697,1981,"1976-1985","Outside","12N",6408761,499288
"RICH45",57.8112879709225,-110.969000260803,"Yes","Seismic",0,1981,"1976-1985","Outside","12N",6407701,501842
"RICH26",57.7830888466854,-110.919904095431,"Yes","Seismic",0,1981,"1976-1985","Outside","12N",6404564,504763
"RICH46",57.8138397014797,-110.927005767168,"Yes","Seismic",0,1981,"1976-1985","Outside","12N",6407987,504337
"RICH47",57.8033179540595,-110.867363112188,"Yes","Off-line",2266,1981,"1976-1985","Outside","12N",6406821,507883.000000001
"RICH51",57.8580033211928,-110.719124002722,"Yes","Off-line",4171,1981,"1976-1985","Outside","12N",6412936,516668.000000001
"RICH55",57.8666279084962,-110.749952570715,"Yes","Off-line",3469,1981,"1976-1985","Outside","12N",6413889,514835
"RICH53",57.8607761348024,-110.552278240424,"Yes","Off-line",2740,1981,"1976-1985","Outside","12N",6413298,526567.000000001
"RICH56",57.900285226904,-110.553626065019,"Yes","Seismic",0,1981,"1976-1985","Outside","12N",6417696,526458.000000001
"RICH57",57.8877695831546,-110.601240107796,"Yes","Off-line",2233,1981,"1976-1985","Outside","12N",6416285,523644
"RICH52",57.8345943329677,-110.706743255409,"Yes","Off-line",5793,1981,"1976-1985","Outside","12N",6410333,517414
"RICH48",57.808395947239,-110.806746580384,"Yes","Off-line",2852,1981,"1976-1985","Outside","12N",6407395,511484
"RICH43",57.8200775825146,-111.065381266126,"Yes","Off-line",3165,1981,"1976-1985","Outside","12N",6408681,496116
"RICH42",57.8193260121765,-111.112445378729,"Yes","Off-line",1473,1981,"1976-1985","Outside","12N",6408601,493320
"RICH58",57.8478574239181,-110.632780125558,"Yes","Off-line",5759,2011,"2006-2016","Outside","12N",6411831,521798
"RICH33",57.6769380548524,-110.675170292955,"Yes","Off-line",1141,2011,"2006-2016","Within","12N",6392790,519373.000000001
"RICH35",57.7229948210257,-110.698278467202,"Yes","Off-line",6242,2011,"2006-2016","Within","12N",6397911,517972
"RICH54",57.8279581939745,-110.610588877169,"Yes","Off-line",7192,2011,"2006-2016","Outside","12N",6409623,523128.000000001
"RICH41",57.7823708433085,-110.722738379478,"Yes","Seismic",0,2011,"2006-2016","Outside","12N",6404515,516488
"RICH32",57.6698578375894,-110.631814938671,"Yes","Off-line",986,2011,"2006-2016","Outside","12N",6392015,521963.000000001
"RICH05",57.6814756825048,-110.976422516389,"Yes","Off-line",490,2011,"2006-2016","Outside","12N",6393249,501406
"RICH31",57.6607534496675,-110.947894308379,"Yes","Off-line",1217,2011,"2006-2016","Outside","12N",6390943,503109.000000001
"RICH37",57.7596662202409,-110.9685066989,"Yes","Off-line",204,2011,"2006-2016","Outside","12N",6401954,501874
"RICH38",57.7588202337735,-110.909236194278,"Yes","Off-line",2706,2011,"2006-2016","Outside","12N",6401863,505401
"RICH36",57.7665596010404,-111.00262214005,"Yes","Seismic",0,2011,"2006-2016","Outside","12N",6402721,499844
"RICH49",57.8051493435232,-110.702539977727,"Yes","Off-line",2517,2011,"2006-2016","Outside","12N",6407056,517678.000000001
"RICH40",57.7829566822705,-110.860610389172,"Yes","Seismic",0,2011,"2006-2016","Outside","12N",6404555,508289
"RICH27",57.7963053816501,-110.968777594175,"No","Seismic",0,0," ","Outside","12N",6406033,501856
"RICH20",57.7584584648527,-110.874719955322,"No","Off-line",2729,0," ","Outside","12N",6401826,507455
"RICH11",57.6761780685066,-110.756798039663,"No","Off-line",2942,0," ","Within","12N",6392685,514505.000000001
"RICH10",57.6720231664299,-110.72788963574,"No","Off-line",2475,0," ","Within","12N",6392229,516231
"RICH02",57.6497725279567,-110.715289125837,"No","Seismic",0,0," ","Outside","12N",6389755,516993
"RICH34",57.8427319242154,-110.762380672233,"No","Off-line",6200,0," ","Outside","12N",6411226,514107
"RICH28",57.7833535638297,-111.028066560263,"No","Seismic",0,0," ","Outside","12N",6404591,498331
"RICH29",57.783435578308,-111.071032612574,"No","Seismic",0,0," ","Outside","12N",6404602,495776
"RICH30",57.7641776079915,-111.085197150122,"No","Off-line",2143,0," ","Outside","12N",6402459,494931
"RICH14",57.6986269631858,-110.699001175009,"No","Off-line",3877,0," ","Within","12N",6395198,517941
"RICH09",57.6940981509991,-110.87368403742,"No","Seismic",0,0," ","Outside","12N",6394661,507530
"RICH13",57.7059542647221,-110.780913514843,"No","Off-line",4420,0," ","Outside","12N",6395995,513056
"RICH16",57.7088542928497,-110.826408480513,"No","Off-line",2243,0," ","Outside","12N",6396310,510344
"RICH17",57.7356232846106,-110.848364738978,"No","Off-line",4634,0," ","Outside","12N",6399287,509029.000000001
"RICH18",57.7284533920976,-110.801497605164,"No","Off-line",4870,0," ","Outside","12N",6398496,511822
"RICH50",57.8234211685076,-110.660284777813,"No","Off-line",5046,0," ","Outside","12N",6409102,520179
"RICH15",57.7364140165851,-110.742773450078,"No","Off-line",5133,0," ","Outside","12N",6399394,515316.000000001
"RICH21",57.7534537197656,-110.729815259654,"No","Off-line",3230,0," ","Outside","12N",6401294,516080
"RICH23",57.7825771714457,-110.767265841337,"No","Seismic",0,0," ","Outside","12N",6404528,513840
"RICH24",57.8131303446455,-110.764628677511,"No","Off-line",3396,0," ","Outside","12N",6407930,513985
"RICH22",57.7581061245626,-110.775590247642,"No","Off-line",2730,0," ","Outside","12N",6401802,513354
"RICH19",57.7627582498628,-110.820166844577,"No","Off-line",2234,0," ","Outside","12N",6402312,510700
"RICH25",57.7827214732256,-110.810801921102,"No","Seismic",0,0," ","Outside","12N",6404536,511251.000000001
"RICH03",57.6496944270192,-110.825735997832,"No","Seismic",0,0," ","Outside","12N",6389724,510401.000000001
"RICH08",57.673679966694,-110.827280750953,"No","Off-line",2666,0," ","Outside","12N",6392394,510302.000000001
"RICH04",57.6497073573897,-110.781939463592,"No","Seismic",0,0," ","Outside","12N",6389733,513015
"RICH01",57.6513392818476,-110.658727392512,"No","Seismic",0,0," ","Outside","12N",6389945,520368
"RICH06",57.6806539646562,-110.937385250146,"No","Off-line",1506,0," ","Outside","12N",6393159,503734
"RICH07",57.677890925827,-110.900820000465,"No","Off-line",1812,0," ","Outside","12N",6392854,505915
"RICH12",57.6942365912054,-110.923052668821,"No","Seismic",0,0," ","Outside","12N",6394672,504587.000000001
